# The building kit — every part the composer may place.
# name  triangles  source
beam-timber-8x3x3-w08                  48  kit:beam timber 8x3x3u wear=0.80 seed=3095382438912423893
beam-dark-8x3x3-w03                    48  kit:beam dark 8x3x3u wear=0.30 seed=3800153964909280343
beam-dark-8x3x3-w08                    48  kit:beam dark 8x3x3u wear=0.80 seed=3800146268327882866
beam-timber-12x1x1-w03                 80  kit:beam timber 12x1x1u wear=0.30 seed=12999037404362779881
beam-timber-12x1x1-w08                 80  kit:beam timber 12x1x1u wear=0.80 seed=12999042901920920936
beam-dark-12x1x1-w03                   80  kit:beam dark 12x1x1u wear=0.30 seed=10765192600098420312
beam-dark-12x1x1-w08                   80  kit:beam dark 12x1x1u wear=0.80 seed=10765187102540279257
beam-timber-12x2x1-w03                 80  kit:beam timber 12x2x1u wear=0.30 seed=17978139212208627864
beam-timber-12x2x1-w08                 80  kit:beam timber 12x2x1u wear=0.80 seed=17978133714650486809
beam-dark-12x2x1-w03                   80  kit:beam dark 12x2x1u wear=0.30 seed=5786090792252572329
beam-dark-12x2x1-w08                   80  kit:beam dark 12x2x1u wear=0.80 seed=5786096289810713384
beam-timber-12x2x2-w03                 80  kit:beam timber 12x2x2u wear=0.30 seed=5564863980110302961
beam-timber-12x2x2-w08                 80  kit:beam timber 12x2x2u wear=0.80 seed=5564851885482392640
beam-dark-12x2x2-w03                   80  kit:beam dark 12x2x2u wear=0.30 seed=17035214973461821648
beam-dark-12x2x2-w08                   80  kit:beam dark 12x2x2u wear=0.80 seed=17035227068089731969
beam-timber-12x3x3-w03                 80  kit:beam timber 12x3x3u wear=0.30 seed=17028064356993415881
beam-timber-12x3x3-w08                 80  kit:beam timber 12x3x3u wear=0.80 seed=17028069854551556936
beam-dark-12x3x3-w03                   80  kit:beam dark 12x3x3u wear=0.30 seed=1426278865273111784
beam-dark-12x3x3-w08                   80  kit:beam dark 12x3x3u wear=0.80 seed=1426273367714970729
beam-timber-16x1x1-w03                 96  kit:beam timber 16x1x1u wear=0.30 seed=9981151000376857749
beam-timber-16x1x1-w08                 96  kit:beam timber 16x1x1u wear=0.80 seed=9981156497934998804
beam-dark-16x1x1-w03                   96  kit:beam dark 16x1x1u wear=0.30 seed=1282320106493973524
beam-dark-16x1x1-w08                   96  kit:beam dark 16x1x1u wear=0.80 seed=1282314608935832469
beam-timber-16x2x1-w03                 96  kit:beam timber 16x2x1u wear=0.30 seed=14353333855403193428
beam-timber-16x2x1-w08                 96  kit:beam timber 16x2x1u wear=0.80 seed=14353328357845052373
beam-dark-16x2x1-w03                   96  kit:beam dark 16x2x1u wear=0.30 seed=7746979852372831573
beam-dark-16x2x1-w08                   96  kit:beam dark 16x2x1u wear=0.80 seed=7746985349930972628
beam-timber-16x2x2-w03                 96  kit:beam timber 16x2x2u wear=0.30 seed=4659814060021327565
beam-timber-16x2x2-w08                 96  kit:beam timber 16x2x2u wear=0.80 seed=4659801965393417244
beam-dark-16x2x2-w03                   96  kit:beam dark 16x2x2u wear=0.30 seed=9535735779496878172
beam-dark-16x2x2-w08                   96  kit:beam dark 16x2x2u wear=0.80 seed=9535747874124788493
beam-timber-16x3x3-w03                 96  kit:beam timber 16x3x3u wear=0.30 seed=12509437316757974773
beam-timber-16x3x3-w08                 96  kit:beam timber 16x3x3u wear=0.80 seed=12509442814316115828
beam-dark-16x3x3-w03                   96  kit:beam dark 16x3x3u wear=0.30 seed=15822478842466245300
beam-dark-16x3x3-w08                   96  kit:beam dark 16x3x3u wear=0.80 seed=15822473344908104245
post-timber-4x1x1-w03                  48  kit:post timber 4x1x1u wear=0.30 seed=15271481259137006011
post-timber-4x1x1-w08                  48  kit:post timber 4x1x1u wear=0.80 seed=15271473562555608534
post-dark-4x1x1-w03                    48  kit:post dark 4x1x1u wear=0.30 seed=1380698454961454940
post-dark-4x1x1-w08                    48  kit:post dark 4x1x1u wear=0.80 seed=1380710549589365261
post-timber-4x2x2-w03                  48  kit:post timber 4x2x2u wear=0.30 seed=12795654320749340627
post-timber-4x2x2-w08                  48  kit:post timber 4x2x2u wear=0.80 seed=12795664216353994526
post-dark-4x2x2-w03                    48  kit:post dark 4x2x2u wear=0.30 seed=633918962966842948
post-dark-4x2x2-w08                    48  kit:post dark 4x2x2u wear=0.80 seed=633913465408701893
post-timber-4x3x3-w03                  48  kit:post timber 4x3x3u wear=0.30 seed=12743335680244299995
post-timber-4x3x3-w08                  48  kit:post timber 4x3x3u wear=0.80 seed=12743327983662902518
post-dark-4x3x3-w03                    48  kit:post dark 4x3x3u wear=0.30 seed=5275835203475909372
post-dark-4x3x3-w08                    48  kit:post dark 4x3x3u wear=0.80 seed=5275847298103819693
post-timber-6x1x1-w03                  48  kit:post timber 6x1x1u wear=0.30 seed=15303061467115014581
post-timber-6x1x1-w08                  48  kit:post timber 6x1x1u wear=0.80 seed=15303066964673155636
post-dark-6x1x1-w03                    48  kit:post dark 6x1x1u wear=0.30 seed=9933470945401885774
post-dark-6x1x1-w08                    48  kit:post dark 6x1x1u wear=0.80 seed=9933461049797231875
post-timber-6x2x2-w03                  48  kit:post timber 6x2x2u wear=0.30 seed=5379130426458103405
post-timber-6x2x2-w08                  48  kit:post timber 6x2x2u wear=0.80 seed=5379118331830193084
post-dark-6x2x2-w03                    48  kit:post dark 6x2x2u wear=0.30 seed=361595112821977782
post-dark-6x2x2-w08                    48  kit:post dark 6x2x2u wear=0.80 seed=361602809403375259
post-timber-6x3x3-w03                  48  kit:post timber 6x3x3u wear=0.30 seed=17834134570140160277
post-timber-6x3x3-w08                  48  kit:post timber 6x3x3u wear=0.80 seed=17834140067698301332
post-dark-6x3x3-w03                    48  kit:post dark 6x3x3u wear=0.30 seed=12461616524294591790
post-dark-6x3x3-w08                    48  kit:post dark 6x3x3u wear=0.80 seed=12461606628689937891
post-timber-8x1x1-w03                  48  kit:post timber 8x1x1u wear=0.30 seed=17306607167062789863
post-timber-8x1x1-w08                  48  kit:post timber 8x1x1u wear=0.80 seed=17306599470481392386
post-dark-8x1x1-w03                    48  kit:post dark 8x1x1u wear=0.30 seed=11106246042632001560
post-dark-8x1x1-w08                    48  kit:post dark 8x1x1u wear=0.80 seed=11106240545073860505
post-timber-8x2x2-w03                  48  kit:post timber 8x2x2u wear=0.30 seed=3888051078629543295
post-timber-8x2x2-w08                  48  kit:post timber 8x2x2u wear=0.80 seed=3888060974234197194
post-dark-8x2x2-w03                    48  kit:post dark 8x2x2u wear=0.30 seed=5163913580378075024
post-dark-8x2x2-w08                    48  kit:post dark 8x2x2u wear=0.80 seed=5163925675005985345
post-timber-8x3x3-w03                  48  kit:post timber 8x3x3u wear=0.30 seed=8543931612589449095
post-timber-8x3x3-w08                  48  kit:post timber 8x3x3u wear=0.80 seed=8543923916008051618
post-dark-8x3x3-w03                    48  kit:post dark 8x3x3u wear=0.30 seed=15611623018703274664
post-dark-8x3x3-w08                    48  kit:post dark 8x3x3u wear=0.80 seed=15611617521145133609
post-timber-10x1x1-w03                 64  kit:post timber 10x1x1u wear=0.30 seed=10410913265620874106
post-timber-10x1x1-w08                 64  kit:post timber 10x1x1u wear=0.80 seed=10410903370016220207
post-dark-10x1x1-w03                   64  kit:post dark 10x1x1u wear=0.30 seed=6056935132490581003
post-dark-10x1x1-w08                   64  kit:post dark 10x1x1u wear=0.80 seed=6056927435909183526
post-timber-10x2x2-w03                 64  kit:post timber 10x2x2u wear=0.30 seed=6621775746565079458
post-timber-10x2x2-w08                 64  kit:post timber 10x2x2u wear=0.80 seed=6621783443146476935
post-dark-10x2x2-w03                   64  kit:post dark 10x2x2u wear=0.30 seed=9690128293169343523
post-dark-10x2x2-w08                   64  kit:post dark 10x2x2u wear=0.80 seed=9690138188773997422
post-timber-10x3x3-w03                 64  kit:post timber 10x3x3u wear=0.30 seed=7214597049840154602
post-timber-10x3x3-w08                 64  kit:post timber 10x3x3u wear=0.80 seed=7214587154235500703
post-dark-10x3x3-w03                   64  kit:post dark 10x3x3u wear=0.30 seed=3525862029465435307
post-dark-10x3x3-w08                   64  kit:post dark 10x3x3u wear=0.80 seed=3525854332884037830
post-timber-12x1x1-w03                 80  kit:post timber 12x1x1u wear=0.30 seed=4704251616261668232
post-timber-12x1x1-w08                 80  kit:post timber 12x1x1u wear=0.80 seed=4704246118703527177
post-dark-12x1x1-w03                   80  kit:post dark 12x1x1u wear=0.30 seed=17956779219608372165
post-dark-12x1x1-w08                   80  kit:post dark 12x1x1u wear=0.80 seed=17956784717166513220
post-timber-12x2x2-w03                 80  kit:post timber 12x2x2u wear=0.30 seed=17086080875335526144
post-timber-12x2x2-w08                 80  kit:post timber 12x2x2u wear=0.80 seed=17086092969963436465
post-dark-12x2x2-w03                   80  kit:post dark 12x2x2u wear=0.30 seed=2089243648520682301
post-dark-12x2x2-w08                   80  kit:post dark 12x2x2u wear=0.80 seed=2089231553892771980
post-timber-12x3x3-w03                 80  kit:post timber 12x3x3u wear=0.30 seed=3073921973477964248
post-timber-12x3x3-w08                 80  kit:post timber 12x3x3u wear=0.80 seed=3073916475919823193
post-dark-12x3x3-w03                   80  kit:post dark 12x3x3u wear=0.30 seed=9840043548531671845
post-dark-12x3x3-w08                   80  kit:post dark 12x3x3u wear=0.80 seed=9840049046089812900
post-timber-16x1x1-w03                 96  kit:post timber 16x1x1u wear=0.30 seed=7139000523592591876
post-timber-16x1x1-w08                 96  kit:post timber 16x1x1u wear=0.80 seed=7138995026034450821
post-dark-16x1x1-w03                   96  kit:post dark 16x1x1u wear=0.30 seed=16581267564343104409
post-dark-16x1x1-w08                   96  kit:post dark 16x1x1u wear=0.80 seed=16581273061901245464
post-timber-16x2x2-w03                 96  kit:post timber 16x2x2u wear=0.30 seed=9283255360040657612
post-timber-16x2x2-w08                 96  kit:post timber 16x2x2u wear=0.80 seed=9283267454668567933
post-dark-16x2x2-w03                   96  kit:post dark 16x2x2u wear=0.30 seed=15157431619919808737
post-dark-16x2x2-w08                   96  kit:post dark 16x2x2u wear=0.80 seed=15157419525291898416
post-timber-16x3x3-w03                 96  kit:post timber 16x3x3u wear=0.30 seed=16823069042828802724
post-timber-16x3x3-w08                 96  kit:post timber 16x3x3u wear=0.80 seed=16823063545270661669
post-dark-16x3x3-w03                   96  kit:post dark 16x3x3u wear=0.30 seed=8206119067909036153
post-dark-16x3x3-w08                   96  kit:post dark 16x3x3u wear=0.80 seed=8206124565467177208
plank-timber-4x1x1-w03                 24  kit:plank timber 4x1x1u wear=0.30 seed=6979325724186485835
plank-timber-4x1x1-w08                 24  kit:plank timber 4x1x1u wear=0.80 seed=6979318027605088358
plank-dark-4x1x1-w03                   24  kit:plank dark 4x1x1u wear=0.30 seed=8047642495786272844
plank-dark-4x1x1-w08                   24  kit:plank dark 4x1x1u wear=0.80 seed=8047654590414183165
plank-stone-4x1x1-w03                  24  kit:plank stone 4x1x1u wear=0.30 seed=989620037341361293
plank-stone-4x1x1-w08                  24  kit:plank stone 4x1x1u wear=0.80 seed=989607942713450972
plank-timber-4x2x1-w03                 24  kit:plank timber 4x2x1u wear=0.30 seed=5490584710997088182
plank-timber-4x2x1-w08                 24  kit:plank timber 4x2x1u wear=0.80 seed=5490592407578485659
plank-dark-4x2x1-w03                   24  kit:plank dark 4x2x1u wear=0.30 seed=17461830661647146861
plank-dark-4x2x1-w08                   24  kit:plank dark 4x2x1u wear=0.80 seed=17461818567019236540
plank-stone-4x2x1-w03                  24  kit:plank stone 4x2x1u wear=0.30 seed=16131196044256466796
plank-stone-4x2x1-w08                  24  kit:plank stone 4x2x1u wear=0.80 seed=16131208138884377117
plank-timber-8x1x1-w03                 24  kit:plank timber 8x1x1u wear=0.30 seed=16624353104916627575
plank-timber-8x1x1-w08                 24  kit:plank timber 8x1x1u wear=0.80 seed=16624345408335230098
plank-dark-8x1x1-w03                   24  kit:plank dark 8x1x1u wear=0.30 seed=11194850626375461448
plank-dark-8x1x1-w08                   24  kit:plank dark 8x1x1u wear=0.80 seed=11194845128817320393
plank-stone-8x1x1-w03                  24  kit:plank stone 8x1x1u wear=0.30 seed=9482085037444290953
plank-stone-8x1x1-w08                  24  kit:plank stone 8x1x1u wear=0.80 seed=9482090535002432008
plank-timber-8x2x1-w03                 24  kit:plank timber 8x2x1u wear=0.30 seed=14907283927693486306
plank-timber-8x2x1-w08                 24  kit:plank timber 8x2x1u wear=0.80 seed=14907291624274883783
plank-dark-8x2x1-w03                   24  kit:plank dark 8x2x1u wear=0.30 seed=1580923573412566361
plank-dark-8x2x1-w08                   24  kit:plank dark 8x2x1u wear=0.80 seed=1580929070970707416
plank-stone-8x2x1-w03                  24  kit:plank stone 8x2x1u wear=0.30 seed=14461327582778549944
plank-stone-8x2x1-w08                  24  kit:plank stone 8x2x1u wear=0.80 seed=14461322085220408889
plank-timber-12x1x1-w03                32  kit:plank timber 12x1x1u wear=0.30 seed=2485655294720792216
plank-timber-12x1x1-w08                32  kit:plank timber 12x1x1u wear=0.80 seed=2485649797162651161
plank-dark-12x1x1-w03                  32  kit:plank dark 12x1x1u wear=0.30 seed=4857861852981781557
plank-dark-12x1x1-w08                  32  kit:plank dark 12x1x1u wear=0.80 seed=4857867350539922612
plank-stone-12x1x1-w03                 32  kit:plank stone 12x1x1u wear=0.30 seed=17403187273811058170
plank-stone-12x1x1-w08                 32  kit:plank stone 12x1x1u wear=0.80 seed=17403177378206404271
plank-timber-12x2x1-w03                32  kit:plank timber 12x2x1u wear=0.30 seed=15953297560584495849
plank-timber-12x2x1-w08                32  kit:plank timber 12x2x1u wear=0.80 seed=15953303058142636904
plank-dark-12x2x1-w03                  32  kit:plank dark 12x2x1u wear=0.30 seed=16839946180812475124
plank-dark-12x2x1-w08                  32  kit:plank dark 12x2x1u wear=0.80 seed=16839940683254334069
plank-stone-12x2x1-w03                 32  kit:plank stone 12x2x1u wear=0.30 seed=2011526937759226895
plank-stone-12x2x1-w08                 32  kit:plank stone 12x2x1u wear=0.80 seed=2011536833363880794
plank-timber-16x1x1-w03                40  kit:plank timber 16x1x1u wear=0.30 seed=17307594011624909396
plank-timber-16x1x1-w08                40  kit:plank timber 16x1x1u wear=0.80 seed=17307588514066768341
plank-dark-16x1x1-w03                  40  kit:plank dark 16x1x1u wear=0.30 seed=3415757985806522249
plank-dark-16x1x1-w08                  40  kit:plank dark 16x1x1u wear=0.80 seed=3415763483364663304
plank-stone-16x1x1-w03                 40  kit:plank stone 16x1x1u wear=0.30 seed=15051215190438275510
plank-stone-16x1x1-w08                 40  kit:plank stone 16x1x1u wear=0.80 seed=15051222887019672987
plank-timber-16x2x1-w03                40  kit:plank timber 16x2x1u wear=0.30 seed=12935411156598573717
plank-timber-16x2x1-w08                40  kit:plank timber 16x2x1u wear=0.80 seed=12935416654156714772
plank-dark-16x2x1-w03                  40  kit:plank dark 16x2x1u wear=0.30 seed=8395000531140781240
plank-dark-16x2x1-w08                  40  kit:plank dark 16x2x1u wear=0.80 seed=8394995033582640185
plank-stone-16x2x1-w03                 40  kit:plank stone 16x2x1u wear=0.30 seed=16539956203627673163
plank-stone-16x2x1-w08                 40  kit:plank stone 16x2x1u wear=0.80 seed=16539948507046275686
wall-timber-8x1x8-w03                 448  kit:wall timber 8x1x8u wear=0.30 seed=16038586408005734190
wall-timber-8x1x8-w08                 448  kit:wall timber 8x1x8u wear=0.80 seed=16038576512401080291
wall-dark-8x1x8-w03                   448  kit:wall dark 8x1x8u wear=0.30 seed=11706943312494200661
wall-dark-8x1x8-w08                   448  kit:wall dark 8x1x8u wear=0.80 seed=11706948810052341716
wall-plaster-8x1x8-w03                304  kit:wall plaster 8x1x8u wear=0.30 seed=8916963113166408702
wall-plaster-8x1x8-w08                304  kit:wall plaster 8x1x8u wear=0.80 seed=8916953217561754803
wall-stone-8x1x8-w03                  304  kit:wall stone 8x1x8u wear=0.30 seed=379485208330166704
wall-stone-8x1x8-w08                  304  kit:wall stone 8x1x8u wear=0.80 seed=379497302958077025
wall-timber-8x1x10-w03                448  kit:wall timber 8x1x10u wear=0.30 seed=10277360516831297989
wall-timber-8x1x10-w08                448  kit:wall timber 8x1x10u wear=0.80 seed=10277366014389439044
wall-dark-8x1x10-w03                  448  kit:wall dark 8x1x10u wear=0.30 seed=14026132404467242748
wall-dark-8x1x10-w08                  448  kit:wall dark 8x1x10u wear=0.80 seed=14026144499095153069
wall-plaster-8x1x10-w03               304  kit:wall plaster 8x1x10u wear=0.30 seed=12251168733822339413
wall-plaster-8x1x10-w08               304  kit:wall plaster 8x1x10u wear=0.80 seed=12251174231380480468
wall-stone-8x1x10-w03                 304  kit:wall stone 8x1x10u wear=0.30 seed=8306113065394298691
wall-stone-8x1x10-w08                 304  kit:wall stone 8x1x10u wear=0.80 seed=8306122960998952590
wall-timber-8x1x12-w03                448  kit:wall timber 8x1x12u wear=0.30 seed=14248080774110851531
wall-timber-8x1x12-w08                448  kit:wall timber 8x1x12u wear=0.80 seed=14248073077529454054
wall-dark-8x1x12-w03                  448  kit:wall dark 8x1x12u wear=0.30 seed=10742510461094300078
wall-dark-8x1x12-w08                  448  kit:wall dark 8x1x12u wear=0.80 seed=10742500565489646179
wall-plaster-8x1x12-w03               304  kit:wall plaster 8x1x12u wear=0.30 seed=10019871635313746331
wall-plaster-8x1x12-w08               304  kit:wall plaster 8x1x12u wear=0.80 seed=10019863938732348854
wall-stone-8x1x12-w03                 304  kit:wall stone 8x1x12u wear=0.30 seed=8866929980620987997
wall-stone-8x1x12-w08                 304  kit:wall stone 8x1x12u wear=0.80 seed=8866917885993077676
wall-timber-12x1x8-w03                640  kit:wall timber 12x1x8u wear=0.30 seed=7431334253574231493
wall-timber-12x1x8-w08                640  kit:wall timber 12x1x8u wear=0.80 seed=7431339751132372548
wall-dark-12x1x8-w03                  640  kit:wall dark 12x1x8u wear=0.30 seed=3417327547369505148
wall-dark-12x1x8-w08                  640  kit:wall dark 12x1x8u wear=0.80 seed=3417339641997415469
wall-plaster-12x1x8-w03               304  kit:wall plaster 12x1x8u wear=0.30 seed=5937105600360188117
wall-plaster-12x1x8-w08               304  kit:wall plaster 12x1x8u wear=0.80 seed=5937111097918329172
wall-stone-12x1x8-w03                 304  kit:wall stone 12x1x8u wear=0.30 seed=15302010455822282543
wall-stone-12x1x8-w08                 304  kit:wall stone 12x1x8u wear=0.80 seed=15302020351426936442
wall-timber-12x1x10-w03               640  kit:wall timber 12x1x10u wear=0.30 seed=14623271004518528684
wall-timber-12x1x10-w08               640  kit:wall timber 12x1x10u wear=0.80 seed=14623283099146439005
wall-dark-12x1x10-w03                 640  kit:wall dark 12x1x10u wear=0.30 seed=10089617545710703255
wall-dark-12x1x10-w08                 640  kit:wall dark 12x1x10u wear=0.80 seed=10089609849129305778
wall-plaster-12x1x10-w03              304  kit:wall plaster 12x1x10u wear=0.30 seed=5518440474248258428
wall-plaster-12x1x10-w08              304  kit:wall plaster 12x1x10u wear=0.80 seed=5518452568876168749
wall-stone-12x1x10-w03                304  kit:wall stone 12x1x10u wear=0.30 seed=3318107973240700226
wall-stone-12x1x10-w08                304  kit:wall stone 12x1x10u wear=0.80 seed=3318115669822097703
wall-timber-12x1x12-w03               640  kit:wall timber 12x1x12u wear=0.30 seed=5329452318804815774
wall-timber-12x1x12-w08               640  kit:wall timber 12x1x12u wear=0.80 seed=5329442423200161875
wall-dark-12x1x12-w03                 640  kit:wall dark 12x1x12u wear=0.30 seed=947653177706543777
wall-dark-12x1x12-w08                 640  kit:wall dark 12x1x12u wear=0.80 seed=947641083078633456
wall-plaster-12x1x12-w03              304  kit:wall plaster 12x1x12u wear=0.30 seed=2234818530875315758
wall-plaster-12x1x12-w08              304  kit:wall plaster 12x1x12u wear=0.80 seed=2234808635270661859
wall-stone-12x1x12-w03                304  kit:wall stone 12x1x12u wear=0.30 seed=5630345631671836704
wall-stone-12x1x12-w08                304  kit:wall stone 12x1x12u wear=0.80 seed=5630357726299747025
wall-timber-16x1x8-w03                784  kit:wall timber 16x1x8u wear=0.30 seed=5679500497015752345
wall-timber-16x1x8-w08                784  kit:wall timber 16x1x8u wear=0.80 seed=5679505994573893400
wall-dark-16x1x8-w03                  784  kit:wall dark 16x1x8u wear=0.30 seed=5046976139120200128
wall-dark-16x1x8-w08                  784  kit:wall dark 16x1x8u wear=0.80 seed=5046988233748110449
wall-plaster-16x1x8-w03               304  kit:wall plaster 16x1x8u wear=0.30 seed=10604162569739767721
wall-plaster-16x1x8-w08               304  kit:wall plaster 16x1x8u wear=0.80 seed=10604168067297908776
wall-stone-16x1x8-w03                 304  kit:wall stone 16x1x8u wear=0.30 seed=12281793059067001243
wall-stone-16x1x8-w08                 304  kit:wall stone 16x1x8u wear=0.80 seed=12281785362485603766
wall-timber-16x1x10-w03               784  kit:wall timber 16x1x10u wear=0.30 seed=3242169409031430776
wall-timber-16x1x10-w08               784  kit:wall timber 16x1x10u wear=0.80 seed=3242163911473289721
wall-dark-16x1x10-w03                 784  kit:wall dark 16x1x10u wear=0.30 seed=13069999191986634835
wall-dark-16x1x10-w08                 784  kit:wall dark 16x1x10u wear=0.80 seed=13070009087591288734
wall-plaster-16x1x10-w03              304  kit:wall plaster 16x1x10u wear=0.30 seed=4607546752764440648
wall-plaster-16x1x10-w08              304  kit:wall plaster 16x1x10u wear=0.80 seed=4607541255206299593
wall-stone-16x1x10-w03                304  kit:wall stone 16x1x10u wear=0.30 seed=18060416648353343894
wall-stone-16x1x10-w08                304  kit:wall stone 16x1x10u wear=0.80 seed=18060424344934741371
wall-timber-16x1x12-w03               784  kit:wall timber 16x1x12u wear=0.30 seed=3873738945579795834
wall-timber-16x1x12-w08               784  kit:wall timber 16x1x12u wear=0.80 seed=3873729049975141935
